Colony,Policy,PointID,Ring,Status,ParentID,DistancePx,AxialDeltaDeg,PredictionResidualDeg,SignedStepDeg,UnwrappedFiberAxisDeg,CumulativeSignedDeg,CumulativeAbsoluteDeg,NormalizedCost
R3C4,reciprocal_one_to_one,258,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,259,6,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,260,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,261,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,262,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,263,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,264,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,265,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,266,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,267,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,268,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,269,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,270,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,271,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,272,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,273,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,274,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,275,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,276,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,277,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,278,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,279,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,280,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,281,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,282,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,283,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,284,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,285,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,286,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,287,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,288,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,289,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,290,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,291,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,292,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,293,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,294,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,295,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,296,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,297,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,298,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,299,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,300,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,301,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,302,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,303,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,304,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,305,7,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,306,8,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,307,8,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,308,8,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,309,8,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,310,8,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,311,8,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,312,8,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,313,8,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,314,8,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,315,8,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,316,8,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,317,8,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,318,8,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,319,8,no_candidate,,,,,,,,,
